remark,"CSV-Import-Export"
remark,"Date = Wed Feb 06 13:59:00 2019"
remark,"Version = RSLogix 5000 v19.01"
remark,"Owner = Hugo Donato"
remark,"Company = servicoop"
remark,"CurrentLanguage = es-AR [español (Argentina)]"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Local:1:C,"","AB:1769_IF8:C:0","",""
TAG,,Local:1:I,"","AB:1769_IF8:I:0","",""
TAG,,Local:1:O,"","AB:1769_IF8:O:0","",""
TAG,,Local:2:I,"","AB:1769_DI32:I:0","",""
COMMENT,,Local:2:I,"no se dinamiza en scada",,"Local:2:I.DATA.12"
COMMENT,,Local:2:I,"no se dinamiza en $Nscada",,"Local:2:I.DATA.13"
TAG,,Local:3:C,"","AB:1769_DO16:C:0","",""
TAG,,Local:3:I,"","AB:1769_DO16:I:0","",""
TAG,,Local:3:O,"","AB:1769_DO16:O:0","",""
TAG,,bit0,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,CmdD,"","tipo_inter_ComD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,CntRecon,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read Only)"
TAG,,ConA,"","tipo_inter_ConA","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,entradas,"","tipo_entrada","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,estados_niveles,"","tipo_nivel","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,FallAl,"","tipo_inter_FallAl","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LecA,"","tipo_inter_LecA","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LecD,"","tipo_inter_LecD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,lectura_caudal,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,lectura_nivel,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,LinkOk,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := None)"
TAG,,parametros,"","tipo_parametros","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,REINTENTOS,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := None)"
TAG,,timers,"","tipo_timer","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,v_diaf,"","tipo_v_diafragma","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,v_marip,"","tipo_v_mariposa[2]","","(Constant := false, ExternalAccess := Read/Write)"
